                    *********************************************************************************
                    *  Z= 66 A=157: Positive-Parity Spin-dependent Level Density [MeV-1] for DY157  *
 
                    *********************************************************************************
                    *  Z= 66 A=159: Positive-Parity Spin-dependent Level Density [MeV-1] for DY159  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.132  1.00E+00 7.69E+00 4.91E+01 0.00E+00 1.51E+00 3.17E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.186  4.00E+00 1.37E+01 1.15E+02 0.00E+00 1.51E+00 3.17E+00 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.228  8.00E+00 1.51E+01 1.81E+02 0.00E+00 0.00E+00 0.00E+00 3.01E+00 3.01E+00 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.263  1.30E+01 2.45E+01 2.48E+02 1.72E+00 3.01E+00 4.68E+00 3.01E+00 0.00E+00 3.01E+00 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.294  2.30E+01 5.96E+01 4.98E+02 4.74E+00 1.05E+01 1.72E+01 7.53E+00 4.52E+00 4.52E+00 1.51E+00 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.322  4.40E+01 1.03E+02 9.32E+02 6.18E+00 1.20E+01 2.02E+01 2.27E+01 1.66E+01 9.19E+00 4.52E+00 3.01E+00 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.348  7.70E+01 1.66E+02 1.69E+03 6.18E+00 1.37E+01 2.32E+01 2.91E+01 2.71E+01 2.28E+01 2.29E+01 1.05E+01 4.52E+00 0.00E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.372  1.33E+02 2.77E+02 2.90E+03 1.07E+01 2.63E+01 4.15E+01 3.86E+01 3.77E+01 4.16E+01 2.91E+01 2.71E+01 1.22E+01 4.52E+00 1.51E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.395  2.36E+02 5.50E+02 5.76E+03 2.78E+01 5.67E+01 8.32E+01 7.16E+01 6.94E+01 7.16E+01 5.77E+01 4.84E+01 2.88E+01 2.43E+01 4.68E+00 0.00E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.416  4.11E+02 8.51E+02 8.87E+03 3.81E+01 9.37E+01 1.33E+02 1.26E+02 1.08E+02 9.40E+01 8.34E+01 6.36E+01 4.99E+01 3.06E+01 1.97E+01 4.52E+00 1.51E+00 3.01E+00 1.51E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.436  7.12E+02 1.55E+03 1.70E+04 6.25E+01 1.42E+02 2.07E+02 2.26E+02 2.18E+02 2.03E+02 1.52E+02 1.12E+02 8.31E+01 6.22E+01 4.71E+01 2.56E+01 6.19E+00 3.17E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.456  1.20E+03 2.35E+03 2.57E+04 1.04E+02 2.22E+02 3.21E+02 3.24E+02 3.10E+02 3.08E+02 2.39E+02 1.87E+02 1.16E+02 8.78E+01 6.05E+01 3.76E+01 2.12E+01 6.18E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.474  2.01E+03 4.11E+03 4.66E+04 1.64E+02 3.45E+02 5.16E+02 5.44E+02 5.53E+02 5.31E+02 4.33E+02 3.76E+02 2.56E+02 1.59E+02 9.53E+01 6.32E+01 3.91E+01 2.26E+01 6.02E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.492  3.28E+03 6.10E+03 6.90E+04 2.62E+02 5.36E+02 7.81E+02 8.18E+02 7.70E+02 7.38E+02 6.30E+02 5.35E+02 4.06E+02 2.65E+02 1.53E+02 9.06E+01 5.72E+01 3.76E+01 1.20E+01 1.51E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.509  5.38E+03 1.07E+04 1.23E+05 4.51E+02 9.28E+02 1.31E+03 1.37E+03 1.40E+03 1.34E+03 1.08E+03 9.05E+02 6.88E+02 5.10E+02 3.31E+02 1.81E+02 1.00E+02 5.90E+01 3.61E+01 9.03E+00 4.52E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.526  8.67E+03 1.56E+04 1.82E+05 6.45E+02 1.30E+03 1.89E+03 2.00E+03 1.99E+03 1.93E+03 1.61E+03 1.37E+03 9.75E+02 7.27E+02 5.22E+02 3.16E+02 1.57E+02 8.64E+01 5.13E+01 2.56E+01 6.02E+00 3.01E+00 1.51E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.542  1.40E+04 2.70E+04 3.18E+05 1.10E+03 2.18E+03 3.18E+03 3.35E+03 3.39E+03 3.37E+03 2.81E+03 2.41E+03 1.80E+03 1.25E+03 8.54E+02 5.85E+02 3.38E+02 1.72E+02 9.16E+01 4.97E+01 1.82E+01 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.558  2.23E+04 3.93E+04 4.66E+05 1.58E+03 3.17E+03 4.59E+03 5.01E+03 4.96E+03 4.82E+03 4.02E+03 3.49E+03 2.66E+03 1.88E+03 1.24E+03 8.33E+02 5.22E+02 2.89E+02 1.45E+02 6.94E+01 3.93E+01 9.19E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.573  3.58E+04 6.86E+04 8.22E+05 2.69E+03 5.42E+03 7.93E+03 8.49E+03 8.48E+03 8.51E+03 7.05E+03 6.10E+03 4.65E+03 3.40E+03 2.33E+03 1.49E+03 9.15E+02 5.73E+02 3.06E+02 1.40E+02 6.96E+01 3.51E+01 6.34E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.588  5.67E+04 9.90E+04 1.19E+06 3.81E+03 7.64E+03 1.11E+04 1.22E+04 1.25E+04 1.22E+04 1.02E+04 9.01E+03 6.75E+03 4.92E+03 3.36E+03 2.28E+03 1.33E+03 8.12E+02 4.71E+02 2.15E+02 9.83E+01 5.07E+01 1.84E+01 4.52E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.617  1.43E+05 2.44E+05 3.01E+06 9.22E+03 1.83E+04 2.65E+04 2.92E+04 3.02E+04 2.97E+04 2.51E+04 2.26E+04 1.74E+04 1.29E+04 8.77E+03 6.02E+03 3.72E+03 2.25E+03 1.28E+03 7.13E+02 3.30E+02 1.42E+02 7.41E+01 2.26E+01 4.68E+00 4.68E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.644  3.51E+05 5.90E+05 7.39E+06 2.16E+04 4.26E+04 6.17E+04 6.85E+04 7.19E+04 7.09E+04 6.07E+04 5.48E+04 4.31E+04 3.23E+04 2.28E+04 1.59E+04 9.87E+03 6.06E+03 3.60E+03 1.98E+03 9.86E+02 4.80E+02 1.95E+02 8.68E+01 3.06E+01 3.01E+00 4.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.671  8.50E+05 1.41E+06 1.79E+07 4.95E+04 9.79E+04 1.42E+05 1.59E+05 1.68E+05 1.67E+05 1.45E+05 1.32E+05 1.05E+05 7.96E+04 5.65E+04 4.00E+04 2.60E+04 1.62E+04 9.60E+03 5.40E+03 2.82E+03 1.43E+03 7.13E+02 2.62E+02 1.11E+02 4.48E+01 5.48E+00 4.68E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.696  2.03E+06 3.30E+06 4.28E+07 1.13E+05 2.23E+05 3.25E+05 3.65E+05 3.89E+05 3.86E+05 3.38E+05 3.11E+05 2.51E+05 1.93E+05 1.39E+05 1.00E+05 6.56E+04 4.22E+04 2.58E+04 1.47E+04 7.77E+03 4.11E+03 1.98E+03 9.38E+02 3.59E+02 1.64E+02 7.26E+01 8.73E+00 9.63E+00 2.01E+00 3.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.720  4.77E+06 7.67E+06 1.01E+08 2.58E+05 5.06E+05 7.38E+05 8.32E+05 8.90E+05 8.91E+05 7.85E+05 7.27E+05 5.88E+05 4.56E+05 3.34E+05 2.46E+05 1.64E+05 1.07E+05 6.63E+04 3.96E+04 2.17E+04 1.14E+04 5.79E+03 2.69E+03 1.26E+03 5.04E+02 2.18E+02 9.32E+01 2.82E+01 2.08E+01 9.85E+00 1.69E+00 3.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.744  1.11E+07 1.75E+07 2.34E+08 5.62E+05 1.11E+06 1.61E+06 1.87E+06 2.01E+06 2.02E+06 1.79E+06 1.67E+06 1.37E+06 1.07E+06 7.93E+05 5.89E+05 3.98E+05 2.66E+05 1.68E+05 1.02E+05 5.75E+04 3.15E+04 1.61E+04 7.97E+03 3.77E+03 1.80E+03 7.57E+02 3.04E+02 1.28E+02 4.56E+01 2.57E+01 4.86E+00 4.68E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.767  2.54E+07 3.98E+07 5.40E+08 1.25E+06 2.45E+06 3.58E+06 4.16E+06 4.49E+06 4.54E+06 4.03E+06 3.80E+06 3.14E+06 2.49E+06 1.86E+06 1.40E+06 9.55E+05 6.46E+05 4.18E+05 2.59E+05 1.48E+05 8.32E+04 4.45E+04 2.25E+04 1.11E+04 5.33E+03 2.54E+03 1.12E+03 4.98E+02 2.00E+02 1.03E+02 2.95E+01 6.13E+00 4.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.789  5.77E+07 8.96E+07 1.23E+09 2.74E+06 5.40E+06 7.89E+06 9.20E+06 9.97E+06 1.01E+07 9.07E+06 8.58E+06 7.14E+06 5.67E+06 4.30E+06 3.26E+06 2.26E+06 1.55E+06 1.02E+06 6.41E+05 3.77E+05 2.16E+05 1.18E+05 6.20E+04 3.16E+04 1.59E+04 7.58E+03 3.59E+03 1.61E+03 7.45E+02 3.48E+02 1.33E+02 5.83E+01 1.66E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.811  1.30E+08 2.00E+08 2.78E+09 5.98E+06 1.18E+07 1.72E+07 2.01E+07 2.19E+07 2.24E+07 2.01E+07 1.92E+07 1.60E+07 1.28E+07 9.83E+06 7.50E+06 5.27E+06 3.68E+06 2.44E+06 1.56E+06 9.36E+05 5.49E+05 3.08E+05 1.66E+05 8.73E+04 4.52E+04 2.24E+04 1.09E+04 5.41E+03 2.43E+03 1.24E+03 4.77E+02 2.08E+02 8.88E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.832  2.91E+08 4.43E+08 6.23E+09 1.29E+07 2.55E+07 3.74E+07 4.38E+07 4.79E+07 4.89E+07 4.43E+07 4.24E+07 3.57E+07 2.88E+07 2.22E+07 1.71E+07 1.22E+07 8.56E+06 5.77E+06 3.75E+06 2.29E+06 1.37E+06 7.85E+05 4.32E+05 2.35E+05 1.25E+05 6.41E+04 3.25E+04 1.65E+04 7.94E+03 3.96E+03 1.71E+03 8.26E+02 3.03E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.872  1.57E+09 2.12E+09 3.05E+10 5.94E+07 1.17E+08 1.72E+08 2.03E+08 2.23E+08 2.29E+08 2.09E+08 2.02E+08 1.72E+08 1.41E+08 1.10E+08 8.64E+07 6.25E+07 4.50E+07 3.11E+07 2.07E+07 1.31E+07 8.06E+06 4.81E+06 2.76E+06 1.58E+06 8.84E+05 4.79E+05 2.57E+05 1.39E+05 7.05E+04 3.74E+04 1.78E+04 8.88E+03 3.56E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.911  7.54E+09 9.82E+09 1.44E+11 2.65E+08 5.25E+08 7.72E+08 9.13E+08 1.01E+09 1.04E+09 9.61E+08 9.33E+08 8.05E+08 6.64E+08 5.27E+08 4.19E+08 3.09E+08 2.26E+08 1.60E+08 1.09E+08 7.05E+07 4.48E+07 2.77E+07 1.64E+07 9.75E+06 5.70E+06 3.23E+06 1.82E+06 1.03E+06 5.48E+05 3.04E+05 1.53E+05 8.08E+04 3.42E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.948  3.48E+10 4.47E+10 6.68E+11 1.19E+09 2.35E+09 3.46E+09 4.03E+09 4.46E+09 4.64E+09 4.33E+09 4.22E+09 3.67E+09 3.04E+09 2.45E+09 1.97E+09 1.47E+09 1.10E+09 7.87E+08 5.47E+08 3.65E+08 2.38E+08 1.51E+08 9.20E+07 5.65E+07 3.42E+07 2.01E+07 1.18E+07 6.92E+06 3.84E+06 2.22E+06 1.17E+06 6.40E+05 2.82E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.984  1.56E+11 1.97E+11 3.00E+12 5.06E+09 1.00E+10 1.48E+10 1.73E+10 1.92E+10 2.01E+10 1.88E+10 1.84E+10 1.62E+10 1.36E+10 1.10E+10 9.01E+09 6.79E+09 5.13E+09 3.75E+09 2.66E+09 1.80E+09 1.20E+09 7.80E+08 4.90E+08 3.10E+08 1.93E+08 1.17E+08 7.06E+07 4.30E+07 2.46E+07 1.47E+07 8.04E+06 4.56E+06 2.08E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.019  5.02E+11 4.96E+11 7.68E+12 1.21E+10 2.40E+10 3.54E+10 4.31E+10 4.74E+10 5.05E+10 4.66E+10 4.64E+10 4.09E+10 3.46E+10 2.85E+10 2.32E+10 1.78E+10 1.36E+10 1.00E+10 7.21E+09 4.96E+09 3.33E+09 2.20E+09 1.41E+09 9.13E+08 5.81E+08 3.59E+08 2.20E+08 1.37E+08 8.14E+07 4.92E+07 2.80E+07 1.61E+07 7.47E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
