                    *********************************************************************************
                    *  Z= 88 A=227: Positive-Parity Spin-dependent Level Density [MeV-1] for RA227  *
  16.00  0.881  2.79E+13 1.09E+13 4.69E+14 8.84E+08 9.91E+08 3.13E+08 1.19E+10 8.21E+09 4.58E+09 6.91E+09 1.28E+08 3.17E+09 5.28E+08 2.56E+10 2.12E+10 1.30E+10 1.33E+10 1.89E+07 8.05E+10 5.45E+11 7.92E+11 1.09E+12 1.38E+12 1.52E+12 1.72E+12 1.34E+12 8.86E+11 5.93E+11 3.91E+11 2.30E+11 1.43E+11 8.01E+10 3.48E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  0.908  4.89E+13 3.10E+13 1.40E+15 1.80E+08 1.45E+08 2.06E+07 6.63E+09 2.71E+09 8.76E+08 1.32E+09 3.12E+06 5.35E+08 3.25E+07 1.21E+10 6.61E+09 1.99E+09 1.62E+09 8.03E+04 2.31E+10 4.42E+11 8.78E+11 1.68E+12 2.89E+12 4.08E+12 6.01E+12 5.16E+12 3.52E+12 2.41E+12 1.65E+12 1.00E+12 6.41E+11 3.73E+11 1.71E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  0.934  1.16E+14 1.02E+14 4.76E+15 3.66E+07 2.13E+07 1.36E+06 3.69E+09 8.93E+08 1.68E+08 2.52E+08 7.60E+04 9.02E+07 2.01E+06 5.68E+09 2.06E+09 3.03E+08 1.96E+08 3.42E+02 6.63E+09 3.59E+11 9.73E+11 2.59E+12 6.05E+12 1.09E+13 2.10E+13 1.99E+13 1.40E+13 9.80E+12 6.96E+12 4.38E+12 2.88E+12 1.74E+12 8.36E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  0.960  3.50E+14 3.67E+14 1.74E+16 7.45E+06 3.13E+06 8.95E+04 2.05E+09 2.95E+08 3.21E+07 4.82E+07 1.85E+03 1.52E+07 1.24E+05 2.68E+09 6.42E+08 4.63E+07 2.38E+07 0.00E+00 1.90E+09 2.91E+11 1.08E+12 4.00E+12 1.27E+13 2.92E+13 7.37E+13 7.71E+13 5.55E+13 3.98E+13 2.94E+13 1.91E+13 1.29E+13 8.08E+12 4.10E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  0.984  1.22E+15 1.37E+15 6.60E+16 1.52E+06 4.58E+05 5.90E+03 1.14E+09 9.71E+07 6.15E+06 9.22E+06 4.52E+01 2.57E+06 7.63E+03 1.26E+09 2.00E+08 7.06E+06 2.88E+06 0.00E+00 5.47E+08 2.36E+11 1.20E+12 6.16E+12 2.65E+13 7.83E+13 2.58E+14 2.98E+14 2.21E+14 1.62E+14 1.24E+14 8.36E+13 5.81E+13 3.76E+13 2.01E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.044  5.46E+16 4.13E+16 2.03E+18 2.84E+04 3.78E+03 6.57E+00 2.64E+08 6.06E+06 9.87E+04 1.47E+05 0.00E+00 3.01E+04 7.21E+00 1.93E+08 1.08E+07 6.42E+04 1.48E+04 0.00E+00 2.42E+07 1.40E+11 1.55E+12 1.82E+13 1.67E+14 9.19E+14 5.92E+15 8.75E+15 6.95E+15 5.39E+15 4.53E+15 3.33E+15 2.49E+15 1.76E+15 1.07E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.101  1.79E+18 1.35E+18 6.77E+19 5.30E+02 3.11E+01 0.00E+00 6.10E+07 3.79E+05 1.58E+03 2.35E+03 0.00E+00 3.52E+02 0.00E+00 2.94E+07 5.88E+05 5.84E+02 7.56E+01 0.00E+00 1.07E+06 8.31E+10 2.00E+12 5.37E+13 1.06E+15 1.08E+16 1.36E+17 2.57E+17 2.19E+17 1.79E+17 1.66E+17 1.33E+17 1.06E+17 8.23E+16 5.67E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.206  4.20E+21 1.68E+21 8.77E+22 0.00E+00 0.00E+00 0.00E+00 3.26E+06 1.48E+03 4.07E-01 5.99E-01 0.00E+00 0.00E+00 0.00E+00 6.84E+05 1.73E+03 0.00E+00 0.00E+00 0.00E+00 2.08E+03 2.93E+10 3.35E+12 4.68E+14 4.24E+16 1.48E+18 7.13E+19 2.22E+20 2.16E+20 1.99E+20 2.22E+20 2.11E+20 1.95E+20 1.80E+20 1.60E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.392  3.81E+22 5.10E+21 2.66E+23 0.00E+00 0.00E+00 0.00E+00 9.30E+03 2.24E-02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.71E+02 1.50E-02 0.00E+00 0.00E+00 0.00E+00 7.92E-03 3.62E+09 9.37E+12 3.55E+16 6.79E+19 4.43E+18 2.14E+20 6.65E+20 6.49E+20 5.96E+20 6.65E+20 6.34E+20 5.84E+20 5.40E+20 4.81E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.557  1.40E+23 1.52E+22 7.94E+23 0.00E+00 0.00E+00 0.00E+00 2.65E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.49E+08 2.62E+13 2.70E+18 1.36E+20 1.32E+19 6.40E+20 1.99E+21 1.95E+21 1.79E+21 1.99E+21 1.90E+21 1.75E+21 1.62E+21 1.44E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.705  4.44E+23 4.57E+22 2.38E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.56E+07 7.35E+13 2.05E+20 2.71E+20 3.95E+19 1.92E+21 5.97E+21 5.83E+21 5.36E+21 5.98E+21 5.70E+21 5.25E+21 4.86E+21 4.33E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  1.842  1.43E+24 1.52E+23 7.70E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.89E+06 2.06E+14 1.56E+22 5.42E+20 1.18E+20 5.75E+21 1.79E+22 1.75E+22 1.61E+22 1.79E+22 1.71E+22 1.57E+22 1.46E+22 1.30E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  1.969  1.01E+25 1.59E+24 6.62E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.53E+05 5.76E+14 1.18E+24 1.08E+21 3.52E+20 1.72E+22 5.37E+22 5.24E+22 4.82E+22 5.38E+22 5.13E+22 4.72E+22 4.37E+22 3.89E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.088  4.73E+26 9.09E+25 3.47E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.06E+05 1.61E+15 8.97E+25 2.17E+21 1.05E+21 5.16E+22 1.61E+23 1.57E+23 1.45E+23 1.61E+23 1.54E+23 1.42E+23 1.31E+23 1.17E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.201  3.50E+28 6.81E+27 2.59E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.31E+04 4.51E+15 6.81E+27 4.33E+21 3.14E+21 1.55E+23 4.82E+23 4.71E+23 4.33E+23 4.83E+23 4.61E+23 4.25E+23 3.93E+23 3.50E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.309  2.65E+30 5.17E+29 1.96E+31 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.62E+03 1.26E+16 5.17E+29 8.67E+21 9.37E+21 4.63E+23 1.45E+24 1.41E+24 1.30E+24 1.45E+24 1.38E+24 1.27E+24 1.18E+24 1.05E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.411  2.01E+32 3.92E+31 1.49E+33 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.01E+02 3.54E+16 3.92E+31 1.73E+22 2.80E+22 1.39E+24 4.34E+24 4.23E+24 3.89E+24 4.35E+24 4.15E+24 3.82E+24 3.53E+24 3.15E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.510  1.53E+34 2.98E+33 1.13E+35 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.91E+16 2.98E+33 3.46E+22 8.35E+22 4.16E+24 1.30E+25 1.27E+25 1.17E+25 1.30E+25 1.24E+25 1.15E+25 1.06E+25 9.45E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.605  1.16E+36 2.26E+35 8.60E+36 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.77E+17 2.26E+35 6.93E+22 2.49E+23 1.25E+25 3.90E+25 3.81E+25 3.50E+25 3.91E+25 3.73E+25 3.43E+25 3.18E+25 2.83E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  2.696  8.82E+37 1.72E+37 6.53E+38 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.77E+17 1.72E+37 1.38E+23 7.44E+23 3.73E+25 1.17E+26 1.14E+26 1.05E+26 1.17E+26 1.12E+26 1.03E+26 9.53E+25 8.50E+25 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  2.784  6.70E+39 1.30E+39 4.96E+40 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.17E+18 1.30E+39 2.77E+23 2.22E+24 1.12E+26 3.50E+26 3.42E+26 3.15E+26 3.51E+26 3.35E+26 3.09E+26 2.86E+26 2.55E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  2.870  5.08E+41 9.90E+40 3.76E+42 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.09E+18 9.90E+40 5.54E+23 6.63E+24 3.35E+26 1.05E+27 1.03E+27 9.44E+26 1.05E+27 1.01E+27 9.26E+26 8.58E+26 7.64E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  2.953  3.86E+43 7.52E+42 2.86E+44 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.70E+19 7.52E+42 1.11E+24 1.98E+25 1.00E+27 3.15E+27 3.07E+27 2.83E+27 3.16E+27 3.01E+27 2.78E+27 2.57E+27 2.29E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.034  2.93E+45 5.71E+44 2.17E+46 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.77E+19 5.71E+44 2.21E+24 5.91E+25 3.01E+27 9.43E+27 9.22E+27 8.48E+27 9.47E+27 9.04E+27 8.33E+27 7.71E+27 6.88E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.113  2.23E+47 4.33E+46 1.65E+48 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.34E+20 4.33E+46 4.42E+24 1.77E+26 9.01E+27 2.83E+28 2.76E+28 2.54E+28 2.84E+28 2.71E+28 2.50E+28 2.31E+28 2.06E+28 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 88 A=227: Negative-parity Spin-dependent Level Density [MeV-1] for RA227  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.110  3.00E+00 1.69E+01 1.61E+02 0.00E+00 1.68E+00 3.17E+00 3.01E+00 3.01E+00 3.01E+00 1.50E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.156  7.00E+00 1.82E+01 2.11E+02 0.00E+00 1.67E+00 1.50E+00 1.50E+00 3.01E+00 3.01E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.191  1.40E+01 3.38E+01 3.80E+02 1.69E+00 3.17E+00 4.70E+00 4.68E+00 4.51E+00 3.01E+00 1.50E+00 3.01E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.220  2.80E+01 8.24E+01 7.71E+02 4.70E+00 1.07E+01 1.71E+01 1.54E+01 1.20E+01 6.02E+00 4.51E+00 3.01E+00 1.50E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.246  6.90E+01 2.47E+02 2.41E+03 1.24E+01 2.76E+01 4.18E+01 3.97E+01 3.77E+01 3.21E+01 2.57E+01 1.20E+01 6.02E+00 3.01E+00 1.50E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.270  1.53E+02 4.23E+02 4.43E+03 1.69E+01 3.68E+01 5.68E+01 6.57E+01 6.99E+01 5.77E+01 4.55E+01 3.63E+01 1.96E+01 7.52E+00 3.01E+00 1.50E+00 3.01E+00 1.50E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.291  3.12E+02 8.45E+02 9.42E+03 3.01E+01 7.58E+01 1.07E+02 1.16E+02 1.23E+02 1.01E+02 9.10E+01 7.54E+01 5.57E+01 3.61E+01 1.66E+01 7.52E+00 3.01E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.311  5.92E+02 1.40E+03 1.57E+04 5.63E+01 1.20E+02 1.78E+02 2.04E+02 1.95E+02 1.71E+02 1.38E+02 1.06E+02 9.06E+01 6.17E+01 4.06E+01 2.26E+01 7.52E+00 3.01E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.330  1.14E+03 3.01E+03 3.38E+04 1.41E+02 2.66E+02 3.86E+02 3.89E+02 4.08E+02 3.83E+02 3.12E+02 2.41E+02 1.67E+02 1.14E+02 8.73E+01 6.02E+01 3.46E+01 9.03E+00 3.01E+00 3.01E+00 3.01E+00 1.50E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.348  2.13E+03 4.88E+03 5.60E+04 2.07E+02 4.04E+02 5.96E+02 6.11E+02 6.67E+02 6.23E+02 5.08E+02 4.35E+02 3.03E+02 1.97E+02 1.23E+02 9.03E+01 6.02E+01 3.16E+01 9.03E+00 3.01E+00 3.01E+00 3.01E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
