                    *********************************************************************************
                    *  Z= 65 A=160: Positive-Parity Spin-dependent Level Density [MeV-1] for TB160  *
   2.75  0.435  5.22E+03 1.21E+04 1.50E+05 4.80E+00 8.61E+02 8.18E+02 1.57E+03 1.32E+03 1.71E+03 1.33E+03 1.39E+03 9.42E+02 8.09E+02 4.85E+02 3.67E+02 1.83E+02 1.05E+02 7.02E+01 4.72E+01 3.18E+01 2.73E+01 4.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.454  9.00E+03 1.81E+04 2.30E+05 3.60E+00 1.21E+03 1.17E+03 2.21E+03 1.95E+03 2.43E+03 1.96E+03 2.13E+03 1.49E+03 1.36E+03 7.78E+02 6.22E+02 3.05E+02 2.13E+02 1.01E+02 6.54E+01 3.49E+01 3.49E+01 1.21E+01 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.473  1.53E+04 3.24E+04 4.24E+05 3.74E+00 2.16E+03 2.01E+03 3.71E+03 3.28E+03 4.16E+03 3.39E+03 3.71E+03 2.68E+03 2.60E+03 1.68E+03 1.32E+03 7.26E+02 4.66E+02 2.24E+02 1.19E+02 6.69E+01 4.26E+01 2.43E+01 1.67E+01 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.491  2.53E+04 4.76E+04 6.34E+05 5.11E+00 3.04E+03 2.87E+03 5.37E+03 4.83E+03 6.05E+03 4.87E+03 5.29E+03 3.98E+03 3.75E+03 2.54E+03 2.10E+03 1.22E+03 8.21E+02 3.91E+02 2.31E+02 1.08E+02 6.87E+01 2.88E+01 2.88E+01 7.58E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.508  4.19E+04 8.51E+04 1.15E+06 1.17E+01 5.34E+03 5.12E+03 9.64E+03 8.55E+03 1.05E+04 8.51E+03 9.33E+03 7.08E+03 6.61E+03 4.53E+03 3.88E+03 2.43E+03 1.72E+03 8.85E+02 5.14E+02 2.21E+02 1.24E+02 6.22E+01 3.18E+01 2.12E+01 4.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.524  6.83E+04 1.26E+05 1.71E+06 2.24E+01 7.70E+03 7.33E+03 1.40E+04 1.26E+04 1.57E+04 1.26E+04 1.36E+04 1.04E+04 9.84E+03 6.68E+03 5.71E+03 3.72E+03 2.71E+03 1.55E+03 9.07E+02 3.94E+02 2.01E+02 8.06E+01 4.89E+01 2.93E+01 1.67E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.541  1.12E+05 2.22E+05 3.06E+06 3.25E+01 1.34E+04 1.29E+04 2.43E+04 2.15E+04 2.66E+04 2.21E+04 2.42E+04 1.84E+04 1.74E+04 1.21E+04 1.02E+04 6.64E+03 4.97E+03 3.11E+03 1.92E+03 9.19E+02 4.73E+02 1.95E+02 9.64E+01 3.99E+01 3.49E+01 7.58E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.556  1.80E+05 3.23E+05 4.50E+06 3.50E+01 1.90E+04 1.84E+04 3.47E+04 3.11E+04 3.93E+04 3.24E+04 3.47E+04 2.66E+04 2.57E+04 1.79E+04 1.53E+04 9.99E+03 7.30E+03 4.70E+03 3.12E+03 1.60E+03 8.36E+02 3.31E+02 1.47E+02 7.51E+01 3.65E+01 1.98E+01 3.18E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.571  2.91E+05 5.65E+05 7.96E+06 1.67E+01 3.25E+04 3.19E+04 5.95E+04 5.32E+04 6.61E+04 5.60E+04 6.14E+04 4.72E+04 4.46E+04 3.20E+04 2.75E+04 1.82E+04 1.34E+04 8.58E+03 5.87E+03 3.31E+03 1.87E+03 8.08E+02 3.68E+02 1.39E+02 7.19E+01 3.51E+01 2.14E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.586  4.63E+05 8.12E+05 1.16E+07 2.68E+01 4.53E+04 4.42E+04 8.33E+04 7.52E+04 9.62E+04 8.07E+04 8.71E+04 6.78E+04 6.58E+04 4.66E+04 4.02E+04 2.70E+04 2.01E+04 1.31E+04 8.69E+03 5.11E+03 3.11E+03 1.44E+03 6.79E+02 2.53E+02 1.13E+02 4.59E+01 3.53E+01 4.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.615  1.16E+06 1.97E+06 2.88E+07 9.79E+01 1.05E+05 1.03E+05 1.95E+05 1.77E+05 2.27E+05 1.91E+05 2.08E+05 1.65E+05 1.62E+05 1.17E+05 1.03E+05 7.06E+04 5.36E+04 3.57E+04 2.42E+04 1.45E+04 9.16E+03 4.95E+03 2.64E+03 1.05E+03 4.56E+02 1.67E+02 7.06E+01 2.98E+01 1.86E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.642  2.83E+06 4.70E+06 6.99E+07 1.68E+02 2.46E+05 2.39E+05 4.53E+05 4.13E+05 5.29E+05 4.48E+05 4.91E+05 3.93E+05 3.87E+05 2.84E+05 2.53E+05 1.78E+05 1.37E+05 9.35E+04 6.52E+04 4.04E+04 2.58E+04 1.42E+04 8.38E+03 4.07E+03 1.94E+03 6.96E+02 2.85E+02 1.14E+02 6.20E+01 1.09E+01 2.45E-01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.668  6.79E+06 1.11E+07 1.68E+08 3.35E+02 5.62E+05 5.49E+05 1.04E+06 9.54E+05 1.23E+06 1.04E+06 1.16E+06 9.31E+05 9.17E+05 6.79E+05 6.09E+05 4.35E+05 3.37E+05 2.37E+05 1.68E+05 1.08E+05 7.08E+04 4.08E+04 2.43E+04 1.24E+04 7.01E+03 3.06E+03 1.35E+03 4.37E+02 1.69E+02 7.19E+01 3.67E+01 8.33E+00 1.52E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.694  1.60E+07 2.59E+07 3.97E+08 6.13E+02 1.27E+06 1.25E+06 2.37E+06 2.17E+06 2.80E+06 2.39E+06 2.68E+06 2.16E+06 2.14E+06 1.61E+06 1.45E+06 1.05E+06 8.18E+05 5.84E+05 4.21E+05 2.77E+05 1.87E+05 1.12E+05 6.89E+04 3.64E+04 2.07E+04 1.06E+04 5.31E+03 1.95E+03 7.90E+02 3.32E+02 1.36E+02 4.38E+01 1.68E+01 6.07E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.718  3.74E+07 5.95E+07 9.26E+08 1.49E+03 2.85E+06 2.79E+06 5.31E+06 4.89E+06 6.32E+06 5.42E+06 6.10E+06 4.96E+06 4.94E+06 3.74E+06 3.40E+06 2.48E+06 1.96E+06 1.42E+06 1.03E+06 6.93E+05 4.77E+05 2.93E+05 1.86E+05 1.03E+05 6.11E+04 3.17E+04 1.68E+04 7.52E+03 3.53E+03 1.47E+03 5.83E+02 2.39E+02 1.19E+02 1.97E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.742  8.57E+07 1.34E+08 2.12E+09 3.49E+03 6.15E+06 6.02E+06 1.15E+07 1.07E+07 1.40E+07 1.21E+07 1.36E+07 1.12E+07 1.12E+07 8.55E+06 7.83E+06 5.78E+06 4.61E+06 3.37E+06 2.49E+06 1.70E+06 1.19E+06 7.45E+05 4.83E+05 2.78E+05 1.69E+05 9.23E+04 5.09E+04 2.44E+04 1.25E+04 5.65E+03 2.53E+03 1.07E+03 3.14E+02 5.31E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.764  1.94E+08 3.00E+08 4.81E+09 6.25E+03 1.35E+07 1.32E+07 2.54E+07 2.36E+07 3.10E+07 2.68E+07 3.03E+07 2.48E+07 2.50E+07 1.93E+07 1.78E+07 1.33E+07 1.07E+07 7.89E+06 5.91E+06 4.09E+06 2.90E+06 1.85E+06 1.23E+06 7.19E+05 4.51E+05 2.56E+05 1.47E+05 7.33E+04 3.90E+04 1.99E+04 9.67E+03 2.88E+03 7.90E+02 1.36E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.787  4.36E+08 6.67E+08 1.08E+10 1.28E+04 2.93E+07 2.88E+07 5.52E+07 5.15E+07 6.77E+07 5.87E+07 6.71E+07 5.49E+07 5.56E+07 4.31E+07 3.98E+07 3.01E+07 2.43E+07 1.82E+07 1.38E+07 9.67E+06 6.97E+06 4.52E+06 3.04E+06 1.82E+06 1.17E+06 6.83E+05 4.04E+05 2.11E+05 1.16E+05 6.20E+04 2.45E+04 7.24E+03 2.32E+03 3.87E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.808  9.69E+08 1.47E+09 2.41E+10 2.85E+04 6.31E+07 6.21E+07 1.19E+08 1.11E+08 1.47E+08 1.28E+08 1.46E+08 1.20E+08 1.22E+08 9.56E+07 8.87E+07 6.75E+07 5.46E+07 4.15E+07 3.16E+07 2.25E+07 1.64E+07 1.08E+07 7.38E+06 4.53E+06 2.97E+06 1.77E+06 1.08E+06 5.82E+05 3.32E+05 1.31E+05 5.07E+04 1.68E+04 5.97E+03 1.06E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.829  2.14E+09 3.20E+09 5.30E+10 5.78E+04 1.35E+08 1.33E+08 2.55E+08 2.39E+08 3.15E+08 2.75E+08 3.16E+08 2.61E+08 2.66E+08 2.09E+08 1.95E+08 1.50E+08 1.22E+08 9.34E+07 7.15E+07 5.17E+07 3.81E+07 2.55E+07 1.76E+07 1.10E+07 7.36E+06 4.48E+06 2.79E+06 1.46E+06 6.80E+05 2.62E+05 1.10E+05 3.80E+04 1.55E+04 3.12E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.870  1.11E+10 1.48E+10 2.50E+11 2.37E+05 6.02E+08 5.93E+08 1.14E+09 1.07E+09 1.42E+09 1.25E+09 1.44E+09 1.20E+09 1.23E+09 9.77E+08 9.19E+08 7.14E+08 5.89E+08 4.58E+08 3.56E+08 2.62E+08 1.97E+08 1.35E+08 9.57E+07 6.18E+07 4.25E+07 2.26E+07 1.16E+07 5.43E+06 2.70E+06 1.11E+06 5.09E+05 1.95E+05 9.68E+04 2.09E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.908  5.16E+10 6.61E+10 1.13E+12 9.67E+05 2.62E+09 2.58E+09 4.97E+09 4.68E+09 6.22E+09 5.49E+09 6.35E+09 5.33E+09 5.49E+09 4.41E+09 4.18E+09 3.28E+09 2.74E+09 2.15E+09 1.70E+09 1.27E+09 9.73E+08 6.82E+08 4.45E+08 2.50E+08 1.44E+08 7.47E+07 4.02E+07 1.93E+07 9.80E+06 4.37E+06 2.12E+06 8.84E+05 5.26E+05 1.09E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.945  2.27E+11 2.85E+11 4.82E+12 3.89E+06 1.13E+10 1.12E+10 2.15E+10 2.01E+10 2.66E+10 2.36E+10 2.74E+10 2.32E+10 2.40E+10 1.94E+10 1.85E+10 1.46E+10 1.23E+10 9.82E+09 7.58E+09 5.17E+09 3.34E+09 2.07E+09 1.27E+09 7.46E+08 4.31E+08 2.33E+08 1.28E+08 6.38E+07 3.36E+07 1.59E+07 8.18E+06 3.68E+06 2.68E+06 4.73E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.981  9.24E+11 1.11E+12 1.78E+13 1.52E+07 4.69E+10 4.63E+10 8.88E+10 8.35E+10 1.11E+11 9.85E+10 1.14E+11 9.76E+10 1.01E+11 7.98E+10 7.05E+10 5.07E+10 4.08E+10 2.78E+10 1.93E+10 1.18E+10 8.03E+09 4.82E+09 3.30E+09 1.93E+09 1.16E+09 5.97E+08 3.51E+08 1.82E+08 1.06E+08 4.98E+07 2.88E+07 1.36E+07 1.26E+07 1.71E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.016  2.44E+12 1.92E+12 2.67E+13 3.39E+07 1.09E+11 1.08E+11 2.10E+11 2.00E+11 2.54E+11 2.02E+11 2.12E+11 1.27E+11 1.43E+11 9.14E+10 7.81E+10 5.02E+10 4.53E+10 2.87E+10 2.22E+10 1.25E+10 9.25E+09 5.27E+09 3.98E+09 2.14E+09 1.47E+09 6.86E+08 4.62E+08 2.20E+08 1.52E+08 6.81E+07 4.82E+07 2.45E+07 3.05E+07 2.30E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.049  5.21E+12 3.63E+12 4.41E+13 7.55E+07 2.55E+11 2.52E+11 4.96E+11 4.81E+11 5.82E+11 4.16E+11 3.94E+11 1.66E+11 2.01E+11 1.05E+11 8.66E+10 4.97E+10 5.04E+10 2.96E+10 2.56E+10 1.32E+10 1.06E+10 5.76E+09 4.80E+09 2.38E+09 1.86E+09 7.89E+08 6.09E+08 2.66E+08 2.19E+08 9.30E+07 8.08E+07 4.41E+07 7.38E+07 3.10E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.081  1.07E+13 7.36E+12 8.01E+13 1.68E+08 5.95E+11 5.89E+11 1.17E+12 1.15E+12 1.33E+12 8.54E+11 7.33E+11 2.17E+11 2.82E+11 1.20E+11 9.60E+10 4.92E+10 5.60E+10 3.05E+10 2.94E+10 1.39E+10 1.23E+10 6.30E+09 5.79E+09 2.64E+09 2.35E+09 9.08E+08 8.02E+08 3.22E+08 3.15E+08 1.27E+08 1.35E+08 7.92E+07 1.79E+08 4.17E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.112  2.22E+13 1.56E+13 1.57E+14 3.75E+08 1.39E+12 1.37E+12 2.77E+12 2.76E+12 3.06E+12 1.76E+12 1.36E+12 2.83E+11 3.97E+11 1.37E+11 1.06E+11 4.87E+10 6.22E+10 3.14E+10 3.38E+10 1.47E+10 1.41E+10 6.88E+09 6.98E+09 2.93E+09 2.98E+09 1.04E+09 1.06E+09 3.89E+08 4.54E+08 1.74E+08 2.27E+08 1.43E+08 4.33E+08 5.62E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.143  4.71E+13 3.42E+13 3.24E+14 8.36E+08 3.24E+12 3.21E+12 6.56E+12 6.63E+12 7.01E+12 3.61E+12 2.53E+12 3.69E+11 5.59E+11 1.57E+11 1.18E+11 4.82E+10 6.91E+10 3.24E+10 3.89E+10 1.56E+10 1.62E+10 7.53E+09 8.42E+09 3.26E+09 3.76E+09 1.20E+09 1.39E+09 4.71E+08 6.53E+08 2.38E+08 3.79E+08 2.56E+08 1.05E+09 7.57E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.173  1.02E+14 7.65E+13 6.94E+14 1.86E+09 7.55E+12 7.48E+12 1.55E+13 1.59E+13 1.61E+13 7.41E+12 4.71E+12 4.81E+11 7.87E+11 1.79E+11 1.31E+11 4.77E+10 7.68E+10 3.34E+10 4.47E+10 1.65E+10 1.87E+10 8.23E+09 1.02E+10 3.62E+09 4.76E+09 1.38E+09 1.83E+09 5.69E+08 9.40E+08 3.25E+08 6.35E+08 4.61E+08 2.54E+09 1.02E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.244  9.46E+14 5.98E+14 5.10E+15 1.38E+10 6.28E+13 6.23E+13 1.33E+14 1.42E+14 1.28E+14 4.49E+13 2.22E+13 9.35E+11 1.85E+12 2.51E+11 1.69E+11 4.65E+10 1.00E+11 3.61E+10 6.34E+10 1.90E+10 2.66E+10 1.03E+10 1.62E+10 4.71E+09 8.56E+09 1.96E+09 3.64E+09 9.15E+08 2.34E+09 7.09E+08 2.30E+09 2.00E+09 2.31E+10 2.15E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.311  7.75E+15 4.85E+15 4.00E+16 1.02E+11 5.22E+14 5.18E+14 1.14E+15 1.26E+15 1.02E+15 2.72E+14 1.05E+14 1.82E+12 4.34E+12 3.51E+11 2.19E+11 4.53E+10 1.30E+11 3.90E+10 9.00E+10 2.18E+10 3.78E+10 1.28E+10 2.59E+10 6.13E+09 1.54E+10 2.78E+09 7.23E+09 1.47E+09 5.81E+09 1.55E+09 8.36E+09 8.68E+09 2.11E+11 4.52E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.436  8.53E+17 3.33E+17 2.66E+18 5.63E+12 3.61E+16 3.59E+16 8.45E+16 1.00E+17 6.44E+16 9.95E+15 2.32E+15 6.86E+12 2.39E+13 6.89E+11 3.66E+11 4.30E+10 2.21E+11 4.56E+10 1.81E+11 2.89E+10 7.66E+10 2.00E+10 6.59E+10 1.04E+10 4.98E+10 5.59E+09 2.86E+10 3.80E+09 3.59E+10 7.38E+09 1.10E+11 1.63E+11 1.76E+13 2.00E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.658  8.55E+21 1.71E+21 1.33E+22 1.70E+16 1.72E+20 1.72E+20 4.61E+20 6.31E+20 2.58E+20 1.34E+19 1.14E+18 9.80E+13 7.29E+14 2.65E+12 1.02E+12 3.87E+10 6.35E+11 6.21E+10 7.34E+11 5.06E+10 3.13E+11 4.88E+10 4.28E+11 2.97E+10 5.21E+11 2.26E+10 4.48E+11 2.54E+10 1.37E+12 1.68E+11 1.91E+13 5.79E+13 1.22E+17 3.94E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.854  3.42E+22 3.42E+21 2.66E+22 3.40E+16 3.44E+20 3.45E+20 9.21E+20 1.26E+21 5.16E+20 2.67E+19 2.29E+18 1.40E+15 2.22E+16 1.02E+13 2.87E+12 3.49E+10 1.82E+12 8.46E+10 2.97E+12 8.87E+10 1.28E+12 1.19E+11 2.78E+12 8.50E+10 5.46E+12 9.15E+10 7.00E+12 1.70E+11 5.23E+13 3.81E+12 3.81E+13 1.16E+14 2.43E+17 7.75E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.031  8.54E+22 6.84E+21 5.33E+22 6.79E+16 6.88E+20 6.90E+20 1.84E+21 2.53E+21 1.03E+21 5.34E+19 4.57E+18 1.99E+16 6.74E+17 3.92E+13 8.03E+12 3.15E+10 5.24E+12 1.15E+11 1.20E+13 1.55E+11 5.25E+12 2.89E+11 1.80E+13 2.43E+11 5.71E+13 3.70E+11 1.10E+14 1.13E+12 2.00E+15 8.66E+13 7.59E+13 2.31E+14 4.86E+17 1.52E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
