                    *********************************************************************************
                    *  Z= 95 A=242: Positive-Parity Spin-dependent Level Density [MeV-1] for AM242  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.106  3.00E+00 1.73E+01 1.66E+02 0.00E+00 1.67E+00 3.22E+00 3.11E+00 3.11E+00 3.11E+00 1.55E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.150  8.00E+00 2.35E+01 2.71E+02 0.00E+00 1.67E+00 3.22E+00 3.11E+00 3.11E+00 3.11E+00 3.11E+00 3.11E+00 1.55E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.184  1.50E+01 3.44E+01 4.70E+02 0.00E+00 1.67E+00 3.22E+00 3.11E+00 4.66E+00 4.66E+00 3.11E+00 3.11E+00 3.11E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.213  2.50E+01 4.70E+01 6.14E+02 1.67E+00 3.22E+00 4.78E+00 6.32E+00 6.21E+00 3.11E+00 3.11E+00 4.66E+00 3.11E+00 3.11E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.238  4.90E+01 1.46E+02 1.71E+03 4.77E+00 1.28E+01 1.58E+01 2.05E+01 2.19E+01 2.19E+01 1.40E+01 9.32E+00 6.32E+00 3.11E+00 4.66E+00 3.11E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.261  1.02E+02 2.75E+02 3.28E+03 7.99E+00 1.91E+01 3.19E+01 3.94E+01 3.91E+01 3.59E+01 2.64E+01 2.33E+01 1.89E+01 1.10E+01 6.21E+00 4.66E+00 3.11E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.281  2.21E+02 6.75E+02 8.38E+03 2.53E+01 4.73E+01 6.90E+01 8.46E+01 8.59E+01 8.27E+01 7.18E+01 5.59E+01 4.84E+01 3.44E+01 3.12E+01 1.55E+01 7.76E+00 4.66E+00 3.11E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.301  4.29E+02 9.90E+02 1.31E+04 2.51E+01 6.47E+01 9.08E+01 1.09E+02 1.08E+02 1.19E+02 1.08E+02 1.03E+02 7.80E+01 5.91E+01 4.67E+01 3.26E+01 2.17E+01 1.09E+01 3.11E+00 3.11E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.319  7.87E+02 1.88E+03 2.52E+04 6.32E+01 1.26E+02 1.73E+02 2.11E+02 2.01E+02 2.07E+02 1.89E+02 1.59E+02 1.43E+02 1.20E+02 1.03E+02 6.06E+01 4.97E+01 3.26E+01 2.02E+01 7.76E+00 4.66E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.336  1.40E+03 3.04E+03 4.11E+04 9.90E+01 2.00E+02 2.88E+02 3.47E+02 3.18E+02 3.35E+02 3.06E+02 2.62E+02 2.27E+02 1.74E+02 1.52E+02 1.16E+02 8.07E+01 5.90E+01 3.42E+01 2.17E+01 7.76E+00 4.66E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.353  2.58E+03 6.36E+03 8.60E+04 2.01E+02 3.88E+02 5.76E+02 7.30E+02 7.12E+02 7.23E+02 6.57E+02 5.77E+02 4.63E+02 3.80E+02 2.96E+02 1.96E+02 1.57E+02 1.18E+02 7.76E+01 5.14E+01 3.11E+01 1.24E+01 3.11E+00 4.66E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.369  4.67E+03 1.04E+04 1.42E+05 3.11E+02 6.12E+02 9.16E+02 1.16E+03 1.15E+03 1.19E+03 1.09E+03 9.20E+02 8.02E+02 6.49E+02 5.09E+02 3.50E+02 2.47E+02 1.71E+02 1.21E+02 8.55E+01 5.29E+01 3.11E+01 1.24E+01 3.11E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.384  8.55E+03 2.06E+04 2.90E+05 5.74E+02 1.18E+03 1.70E+03 2.14E+03 2.17E+03 2.28E+03 2.16E+03 1.97E+03 1.68E+03 1.35E+03 1.09E+03 7.87E+02 5.50E+02 3.65E+02 2.44E+02 1.68E+02 1.18E+02 6.52E+01 3.42E+01 1.55E+01 3.11E+00 4.66E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.398  1.51E+04 3.21E+04 4.57E+05 9.09E+02 1.79E+03 2.60E+03 3.23E+03 3.29E+03 3.50E+03 3.30E+03 2.96E+03 2.60E+03 2.19E+03 1.77E+03 1.27E+03 9.52E+02 6.14E+02 4.26E+02 2.69E+02 1.74E+02 1.18E+02 6.52E+01 3.26E+01 1.40E+01 3.11E+00 3.11E+00 3.11E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.412  2.69E+04 6.19E+04 8.96E+05 1.67E+03 3.37E+03 4.89E+03 6.18E+03 6.23E+03 6.61E+03 6.24E+03 5.71E+03 5.02E+03 4.23E+03 3.47E+03 2.59E+03 1.96E+03 1.35E+03 9.53E+02 6.00E+02 3.66E+02 2.11E+02 1.29E+02 6.99E+01 3.88E+01 1.55E+01 3.11E+00 3.11E+00 3.11E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.426  4.68E+04 9.70E+04 1.42E+06 2.58E+03 5.18E+03 7.49E+03 9.49E+03 9.86E+03 1.05E+04 9.90E+03 8.84E+03 7.75E+03 6.57E+03 5.48E+03 4.06E+03 3.10E+03 2.22E+03 1.56E+03 1.03E+03 6.27E+02 3.70E+02 2.13E+02 1.29E+02 6.52E+01 3.26E+01 1.24E+01 4.66E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.439  8.24E+04 1.88E+05 2.78E+06 5.01E+03 9.82E+03 1.43E+04 1.83E+04 1.86E+04 1.98E+04 1.88E+04 1.75E+04 1.54E+04 1.30E+04 1.07E+04 8.05E+03 6.21E+03 4.44E+03 3.24E+03 2.17E+03 1.33E+03 8.21E+02 4.69E+02 2.42E+02 1.48E+02 7.31E+01 3.74E+01 1.55E+01 4.66E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.451  1.43E+05 2.94E+05 4.37E+06 7.58E+03 1.49E+04 2.17E+04 2.77E+04 2.90E+04 3.11E+04 2.97E+04 2.71E+04 2.39E+04 2.04E+04 1.71E+04 1.27E+04 9.68E+03 7.07E+03 5.18E+03 3.49E+03 2.25E+03 1.37E+03 8.07E+02 4.34E+02 2.26E+02 1.32E+02 6.84E+01 3.26E+01 9.32E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.464  2.49E+05 5.59E+05 8.44E+06 1.41E+04 2.77E+04 4.05E+04 5.19E+04 5.36E+04 5.77E+04 5.49E+04 5.19E+04 4.64E+04 3.98E+04 3.32E+04 2.54E+04 1.96E+04 1.41E+04 1.03E+04 7.09E+03 4.57E+03 2.92E+03 1.73E+03 9.74E+02 5.15E+02 2.69E+02 1.51E+02 7.15E+01 3.27E+01 9.32E+00 3.11E+00 3.11E+00 1.55E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.476  4.26E+05 8.56E+05 1.31E+07 2.08E+04 4.13E+04 6.03E+04 7.74E+04 8.15E+04 8.82E+04 8.55E+04 7.88E+04 7.04E+04 6.11E+04 5.21E+04 3.95E+04 3.06E+04 2.25E+04 1.66E+04 1.11E+04 7.40E+03 4.67E+03 2.91E+03 1.64E+03 9.15E+02 4.71E+02 2.37E+02 1.42E+02 6.54E+01 2.17E+01 3.11E+00 3.11E+00 3.11E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.499  1.25E+06 2.46E+06 3.82E+07 5.76E+04 1.14E+05 1.67E+05 2.16E+05 2.28E+05 2.48E+05 2.41E+05 2.25E+05 2.01E+05 1.76E+05 1.52E+05 1.18E+05 9.23E+04 6.96E+04 5.22E+04 3.59E+04 2.40E+04 1.52E+04 9.59E+03 5.69E+03 3.31E+03 1.81E+03 9.70E+02 4.76E+02 2.26E+02 1.12E+02 4.68E+01 1.25E+01 4.66E+00 3.11E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.521  3.61E+06 6.95E+06 1.10E+08 1.58E+05 3.12E+05 4.57E+05 5.91E+05 6.29E+05 6.87E+05 6.74E+05 6.32E+05 5.73E+05 5.06E+05 4.40E+05 3.43E+05 2.72E+05 2.08E+05 1.59E+05 1.11E+05 7.61E+04 4.92E+04 3.17E+04 1.89E+04 1.13E+04 6.45E+03 3.61E+03 1.82E+03 8.44E+02 4.07E+02 2.01E+02 8.42E+01 3.58E+01 4.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.542  1.02E+07 1.94E+07 3.12E+08 4.24E+05 8.38E+05 1.23E+06 1.60E+06 1.71E+06 1.87E+06 1.85E+06 1.74E+06 1.61E+06 1.43E+06 1.25E+06 9.88E+05 7.90E+05 6.12E+05 4.71E+05 3.33E+05 2.33E+05 1.54E+05 1.01E+05 6.19E+04 3.80E+04 2.19E+04 1.26E+04 6.71E+03 3.45E+03 1.65E+03 7.34E+02 3.13E+02 1.68E+02 6.21E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.563  2.83E+07 5.31E+07 8.71E+08 1.13E+06 2.23E+06 3.28E+06 4.26E+06 4.58E+06 5.04E+06 4.99E+06 4.72E+06 4.41E+06 3.93E+06 3.47E+06 2.77E+06 2.26E+06 1.76E+06 1.37E+06 9.87E+05 6.99E+05 4.68E+05 3.11E+05 1.97E+05 1.24E+05 7.29E+04 4.31E+04 2.32E+04 1.23E+04 6.30E+03 3.12E+03 1.43E+03 6.21E+02 2.84E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.583  7.76E+07 1.44E+08 2.40E+09 2.96E+06 5.87E+06 8.65E+06 1.12E+07 1.21E+07 1.34E+07 1.33E+07 1.27E+07 1.19E+07 1.07E+07 9.50E+06 7.64E+06 6.29E+06 4.95E+06 3.90E+06 2.87E+06 2.05E+06 1.40E+06 9.43E+05 6.05E+05 3.88E+05 2.36E+05 1.43E+05 7.93E+04 4.33E+04 2.28E+04 1.18E+04 5.88E+03 2.67E+03 1.11E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.602  2.09E+08 3.81E+08 6.46E+09 7.50E+06 1.48E+07 2.19E+07 2.85E+07 3.14E+07 3.48E+07 3.50E+07 3.35E+07 3.16E+07 2.85E+07 2.55E+07 2.07E+07 1.72E+07 1.37E+07 1.09E+07 8.09E+06 5.86E+06 4.05E+06 2.79E+06 1.82E+06 1.20E+06 7.38E+05 4.58E+05 2.62E+05 1.48E+05 8.05E+04 4.28E+04 2.22E+04 1.09E+04 4.90E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.620  5.56E+08 1.01E+09 1.73E+10 1.93E+07 3.83E+07 5.65E+07 7.37E+07 8.13E+07 9.05E+07 9.12E+07 8.76E+07 8.31E+07 7.46E+07 6.77E+07 5.54E+07 4.64E+07 3.73E+07 2.99E+07 2.25E+07 1.65E+07 1.15E+07 8.05E+06 5.35E+06 3.58E+06 2.26E+06 1.43E+06 8.37E+05 4.86E+05 2.74E+05 1.51E+05 8.06E+04 4.05E+04 1.92E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.638  1.46E+09 2.63E+09 4.58E+10 4.93E+07 9.77E+07 1.44E+08 1.89E+08 2.09E+08 2.33E+08 2.35E+08 2.27E+08 2.17E+08 1.95E+08 1.78E+08 1.47E+08 1.24E+08 1.00E+08 8.09E+07 6.15E+07 4.57E+07 3.24E+07 2.28E+07 1.54E+07 1.05E+07 6.73E+06 4.37E+06 2.61E+06 1.56E+06 9.00E+05 5.10E+05 2.84E+05 1.48E+05 7.11E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.656  3.82E+09 6.81E+09 1.20E+11 1.25E+08 2.47E+08 3.66E+08 4.78E+08 5.30E+08 5.92E+08 6.01E+08 5.82E+08 5.59E+08 5.05E+08 4.63E+08 3.84E+08 3.27E+08 2.66E+08 2.16E+08 1.66E+08 1.24E+08 8.91E+07 6.35E+07 4.36E+07 3.01E+07 1.96E+07 1.30E+07 7.93E+06 4.86E+06 2.88E+06 1.67E+06 9.57E+05 5.13E+05 2.56E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.673  9.89E+09 1.74E+10 3.11E+11 3.13E+08 6.20E+08 9.18E+08 1.20E+09 1.33E+09 1.49E+09 1.52E+09 1.48E+09 1.42E+09 1.29E+09 1.19E+09 9.93E+08 8.50E+08 6.96E+08 5.71E+08 4.43E+08 3.35E+08 2.42E+08 1.74E+08 1.21E+08 8.49E+07 5.62E+07 3.79E+07 2.35E+07 1.47E+07 8.95E+06 5.32E+06 3.13E+06 1.72E+06 8.78E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.706  7.44E+10 1.12E+11 2.03E+12 1.92E+09 3.81E+09 5.65E+09 7.40E+09 8.25E+09 9.28E+09 9.48E+09 9.27E+09 8.99E+09 8.24E+09 7.64E+09 6.44E+09 5.57E+09 4.62E+09 3.84E+09 3.02E+09 2.33E+09 1.71E+09 1.25E+09 8.96E+08 6.42E+08 4.37E+08 3.03E+08 1.95E+08 1.27E+08 8.02E+07 4.97E+07 3.07E+07 1.76E+07 9.33E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.737  4.75E+11 6.89E+11 1.28E+13 1.14E+10 2.27E+10 3.37E+10 4.42E+10 4.95E+10 5.58E+10 5.73E+10 5.63E+10 5.49E+10 5.06E+10 4.73E+10 4.03E+10 3.51E+10 2.95E+10 2.47E+10 1.97E+10 1.54E+10 1.15E+10 8.59E+09 6.27E+09 4.59E+09 3.20E+09 2.28E+09 1.51E+09 1.01E+09 6.61E+08 4.25E+08 2.72E+08 1.61E+08 8.83E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.767  2.91E+12 4.17E+12 7.89E+13 6.81E+10 1.35E+11 2.01E+11 2.64E+11 2.92E+11 3.29E+11 3.37E+11 3.33E+11 3.26E+11 3.06E+11 2.86E+11 2.45E+11 2.15E+11 1.82E+11 1.54E+11 1.25E+11 9.86E+10 7.44E+10 5.64E+10 4.19E+10 3.13E+10 2.22E+10 1.62E+10 1.10E+10 7.56E+09 5.08E+09 3.36E+09 2.22E+09 1.35E+09 7.63E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.796  1.04E+13 1.08E+13 2.92E+14 2.75E+10 5.97E+10 9.47E+10 1.24E+11 8.18E+10 1.10E+11 2.04E+11 3.61E+11 5.59E+11 7.65E+11 9.37E+11 1.16E+12 1.19E+12 1.06E+12 9.28E+11 7.57E+11 6.07E+11 4.62E+11 3.56E+11 2.68E+11 2.04E+11 1.47E+11 1.09E+11 7.55E+10 5.32E+10 3.66E+10 2.50E+10 1.69E+10 1.05E+10 6.05E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.824  2.01E+13 8.60E+12 3.11E+14 1.11E+10 2.65E+10 4.37E+10 5.56E+10 8.22E+10 1.11E+11 1.32E+11 6.14E+10 8.13E+10 1.68E+11 1.97E+11 2.00E+11 4.63E+10 9.89E+09 2.14E+11 7.44E+11 9.85E+11 1.09E+12 1.06E+12 8.90E+11 6.92E+11 5.06E+11 3.82E+11 2.67E+11 1.92E+11 1.33E+11 9.20E+10 6.38E+10 4.04E+10 2.34E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
