                    *********************************************************************************
                    *  Z= 67 A=166: Positive-Parity Spin-dependent Level Density [MeV-1] for HO166  *
   2.75  0.427  4.35E+03 1.05E+04 1.29E+05 4.32E+00 8.05E+02 7.34E+02 1.40E+03 1.17E+03 1.45E+03 1.15E+03 1.19E+03 8.40E+02 7.03E+02 4.02E+02 3.12E+02 1.67E+02 9.65E+01 4.44E+01 2.91E+01 1.84E+01 1.53E+01 6.13E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.446  7.68E+03 1.62E+04 2.02E+05 4.73E+00 1.17E+03 1.08E+03 2.04E+03 1.75E+03 2.18E+03 1.71E+03 1.89E+03 1.35E+03 1.13E+03 7.04E+02 5.63E+02 2.73E+02 1.78E+02 7.37E+01 3.98E+01 2.77E+01 1.68E+01 9.19E+00 4.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.464  1.35E+04 3.03E+04 3.91E+05 3.78E+00 2.03E+03 1.96E+03 3.67E+03 3.18E+03 3.90E+03 3.17E+03 3.46E+03 2.57E+03 2.27E+03 1.49E+03 1.17E+03 6.55E+02 3.96E+02 1.91E+02 1.01E+02 4.30E+01 3.22E+01 1.68E+01 9.19E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.482  2.30E+04 4.56E+04 5.96E+05 6.65E+00 2.97E+03 2.86E+03 5.39E+03 4.76E+03 5.84E+03 4.68E+03 5.13E+03 3.89E+03 3.40E+03 2.34E+03 1.90E+03 1.07E+03 7.20E+02 3.21E+02 1.89E+02 7.50E+01 3.37E+01 1.68E+01 1.53E+01 6.13E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.498  3.91E+04 8.35E+04 1.12E+06 1.24E+01 5.37E+03 5.12E+03 9.47E+03 8.22E+03 1.03E+04 8.54E+03 9.53E+03 7.20E+03 6.30E+03 4.41E+03 3.72E+03 2.27E+03 1.51E+03 7.80E+02 4.32E+02 1.89E+02 9.34E+01 2.76E+01 1.84E+01 1.53E+01 7.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.515  6.51E+04 1.24E+05 1.68E+06 1.92E+01 7.73E+03 7.33E+03 1.38E+04 1.22E+04 1.54E+04 1.25E+04 1.39E+04 1.06E+04 9.52E+03 6.67E+03 5.68E+03 3.55E+03 2.49E+03 1.31E+03 7.85E+02 3.25E+02 1.69E+02 6.43E+01 3.06E+01 1.68E+01 1.07E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.531  1.08E+05 2.22E+05 3.06E+06 2.20E+01 1.34E+04 1.29E+04 2.41E+04 2.13E+04 2.64E+04 2.19E+04 2.47E+04 1.94E+04 1.73E+04 1.26E+04 1.05E+04 6.72E+03 4.81E+03 2.80E+03 1.72E+03 8.27E+02 4.02E+02 1.43E+02 6.91E+01 2.60E+01 1.68E+01 7.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.546  1.77E+05 3.26E+05 4.54E+06 2.25E+01 1.88E+04 1.83E+04 3.46E+04 3.11E+04 3.93E+04 3.22E+04 3.55E+04 2.81E+04 2.57E+04 1.86E+04 1.57E+04 1.02E+04 7.44E+03 4.43E+03 2.90E+03 1.41E+03 7.42E+02 2.68E+02 1.15E+02 3.52E+01 1.84E+01 1.38E+01 7.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.561  2.89E+05 5.72E+05 8.10E+06 2.61E+01 3.28E+04 3.18E+04 5.94E+04 5.30E+04 6.59E+04 5.57E+04 6.27E+04 5.02E+04 4.49E+04 3.34E+04 2.89E+04 1.89E+04 1.41E+04 8.58E+03 5.79E+03 3.07E+03 1.70E+03 6.98E+02 3.09E+02 8.74E+01 3.37E+01 1.84E+01 1.38E+01 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.576  4.64E+05 8.31E+05 1.19E+07 3.58E+01 4.62E+04 4.48E+04 8.47E+04 7.64E+04 9.71E+04 8.10E+04 8.96E+04 7.17E+04 6.64E+04 4.87E+04 4.25E+04 2.87E+04 2.11E+04 1.32E+04 8.91E+03 4.95E+03 2.93E+03 1.26E+03 5.54E+02 1.69E+02 7.67E+01 2.92E+01 1.68E+01 6.13E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.604  1.19E+06 2.06E+06 3.02E+07 7.35E+01 1.09E+05 1.07E+05 2.03E+05 1.85E+05 2.35E+05 1.97E+05 2.20E+05 1.78E+05 1.66E+05 1.25E+05 1.09E+05 7.54E+04 5.66E+04 3.70E+04 2.56E+04 1.53E+04 9.32E+03 4.67E+03 2.41E+03 8.84E+02 3.43E+02 8.77E+01 3.24E+01 1.68E+01 9.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.631  2.96E+06 5.04E+06 7.50E+07 1.14E+02 2.60E+05 2.54E+05 4.80E+05 4.38E+05 5.60E+05 4.75E+05 5.31E+05 4.33E+05 4.07E+05 3.10E+05 2.76E+05 1.94E+05 1.48E+05 9.88E+04 7.01E+04 4.35E+04 2.77E+04 1.49E+04 8.47E+03 3.78E+03 1.68E+03 4.95E+02 1.58E+02 4.50E+01 1.85E+01 7.66E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.656  7.25E+06 1.21E+07 1.84E+08 2.63E+02 6.03E+05 5.91E+05 1.12E+06 1.03E+06 1.32E+06 1.12E+06 1.27E+06 1.04E+06 9.85E+05 7.57E+05 6.79E+05 4.85E+05 3.75E+05 2.56E+05 1.85E+05 1.19E+05 7.73E+04 4.41E+04 2.64E+04 1.31E+04 6.65E+03 2.49E+03 9.15E+02 2.29E+02 7.47E+01 1.78E+01 1.09E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.681  1.75E+07 2.87E+07 4.42E+08 6.82E+02 1.39E+06 1.36E+06 2.59E+06 2.38E+06 3.06E+06 2.62E+06 2.98E+06 2.45E+06 2.34E+06 1.82E+06 1.65E+06 1.19E+06 9.30E+05 6.47E+05 4.78E+05 3.11E+05 2.09E+05 1.24E+05 7.68E+04 4.05E+04 2.19E+04 9.81E+03 4.47E+03 1.47E+03 4.15E+02 9.25E+01 2.77E+01 1.56E+01 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.705  4.14E+07 6.70E+07 1.05E+09 1.48E+03 3.17E+06 3.11E+06 5.91E+06 5.45E+06 7.03E+06 6.03E+06 6.89E+06 5.72E+06 5.48E+06 4.29E+06 3.91E+06 2.86E+06 2.27E+06 1.60E+06 1.20E+06 7.99E+05 5.46E+05 3.34E+05 2.12E+05 1.17E+05 6.71E+04 3.29E+04 1.64E+04 6.69E+03 2.39E+03 7.02E+02 2.08E+02 4.06E+01 1.86E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.728  9.65E+07 1.54E+08 2.44E+09 2.93E+03 6.94E+06 6.82E+06 1.31E+07 1.21E+07 1.59E+07 1.37E+07 1.57E+07 1.31E+07 1.26E+07 9.96E+06 9.15E+06 6.78E+06 5.42E+06 3.88E+06 2.95E+06 2.00E+06 1.39E+06 8.74E+05 5.69E+05 3.27E+05 1.93E+05 1.01E+05 5.41E+04 2.46E+04 1.05E+04 3.98E+03 1.36E+03 3.90E+02 7.21E+01 1.68E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.751  2.22E+08 3.50E+08 5.64E+09 6.38E+03 1.55E+07 1.52E+07 2.92E+07 2.72E+07 3.56E+07 3.08E+07 3.54E+07 2.94E+07 2.87E+07 2.28E+07 2.11E+07 1.58E+07 1.28E+07 9.24E+06 7.10E+06 4.91E+06 3.47E+06 2.22E+06 1.48E+06 8.76E+05 5.33E+05 2.90E+05 1.63E+05 7.96E+04 3.78E+04 1.70E+04 6.96E+03 1.87E+03 3.45E+02 3.83E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.772  5.07E+08 7.90E+08 1.29E+10 1.30E+04 3.42E+07 3.36E+07 6.45E+07 6.02E+07 7.90E+07 6.86E+07 7.94E+07 6.62E+07 6.48E+07 5.19E+07 4.80E+07 3.64E+07 2.96E+07 2.17E+07 1.69E+07 1.18E+07 8.47E+06 5.54E+06 3.75E+06 2.28E+06 1.42E+06 8.03E+05 4.68E+05 2.42E+05 1.23E+05 5.97E+04 2.26E+04 5.81E+03 1.49E+03 1.42E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.793  1.15E+09 1.77E+09 2.92E+10 2.81E+04 7.48E+07 7.36E+07 1.41E+08 1.32E+08 1.74E+08 1.51E+08 1.76E+08 1.47E+08 1.45E+08 1.17E+08 1.08E+08 8.28E+07 6.77E+07 5.01E+07 3.94E+07 2.80E+07 2.03E+07 1.35E+07 9.29E+06 5.81E+06 3.69E+06 2.15E+06 1.30E+06 6.98E+05 3.71E+05 1.61E+05 5.54E+04 1.76E+04 5.56E+03 7.44E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.814  2.56E+09 3.91E+09 6.53E+10 5.89E+04 1.62E+08 1.60E+08 3.07E+08 2.88E+08 3.79E+08 3.31E+08 3.85E+08 3.24E+08 3.20E+08 2.59E+08 2.42E+08 1.86E+08 1.54E+08 1.15E+08 9.09E+07 6.52E+07 4.79E+07 3.24E+07 2.26E+07 1.44E+07 9.36E+06 5.60E+06 3.47E+06 1.93E+06 8.78E+05 3.58E+05 1.28E+05 4.39E+04 1.76E+04 2.98E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.854  1.38E+10 1.86E+10 3.17E+11 2.48E+05 7.45E+08 7.35E+08 1.41E+09 1.33E+09 1.76E+09 1.55E+09 1.80E+09 1.53E+09 1.52E+09 1.24E+09 1.17E+09 9.14E+08 7.63E+08 5.79E+08 4.66E+08 3.41E+08 2.55E+08 1.78E+08 1.27E+08 8.39E+07 5.63E+07 3.06E+07 1.57E+07 7.35E+06 3.46E+06 1.55E+06 6.31E+05 2.51E+05 1.22E+05 2.64E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.892  6.59E+10 8.55E+10 1.47E+12 1.03E+06 3.33E+09 3.28E+09 6.32E+09 5.96E+09 7.91E+09 6.99E+09 8.19E+09 6.98E+09 6.99E+09 5.77E+09 5.48E+09 4.32E+09 3.64E+09 2.80E+09 2.29E+09 1.70E+09 1.30E+09 9.23E+08 6.24E+08 3.36E+08 2.05E+08 1.01E+08 5.49E+07 2.66E+07 1.31E+07 6.28E+06 2.78E+06 1.20E+06 7.12E+05 1.53E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.928  2.98E+11 3.79E+11 6.47E+12 4.29E+06 1.48E+10 1.46E+10 2.81E+10 2.64E+10 3.48E+10 3.09E+10 3.62E+10 3.13E+10 3.14E+10 2.61E+10 2.49E+10 1.97E+10 1.68E+10 1.31E+10 1.05E+10 7.24E+09 4.78E+09 2.88E+09 1.86E+09 9.89E+08 6.18E+08 3.09E+08 1.78E+08 8.90E+07 4.68E+07 2.33E+07 1.10E+07 5.12E+06 3.79E+06 6.99E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.963  1.24E+12 1.51E+12 2.43E+13 1.72E+07 6.28E+10 6.21E+10 1.19E+11 1.12E+11 1.48E+11 1.32E+11 1.55E+11 1.35E+11 1.36E+11 1.10E+11 9.74E+10 7.03E+10 5.51E+10 3.77E+10 2.58E+10 1.74E+10 1.21E+10 7.15E+09 4.76E+09 2.56E+09 1.68E+09 8.60E+08 5.09E+08 2.59E+08 1.48E+08 7.29E+07 3.84E+07 1.87E+07 1.82E+07 2.40E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.997  3.08E+12 2.17E+12 3.31E+13 2.84E+07 6.64E+10 6.57E+10 1.38E+11 1.75E+11 3.27E+11 2.76E+11 2.95E+11 1.68E+11 1.93E+11 1.22E+11 9.87E+10 6.26E+10 5.98E+10 3.89E+10 2.89E+10 1.83E+10 1.40E+10 7.64E+09 5.71E+09 2.79E+09 2.07E+09 1.01E+09 6.40E+08 3.22E+08 2.12E+08 1.06E+08 6.43E+07 3.19E+07 4.46E+07 2.72E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  1.030  5.86E+12 3.40E+12 4.93E+13 4.69E+07 7.02E+10 6.94E+10 1.60E+11 2.72E+11 7.20E+11 5.77E+11 5.61E+11 2.10E+11 2.73E+11 1.35E+11 1.00E+11 5.58E+10 6.48E+10 4.02E+10 3.24E+10 1.91E+10 1.63E+10 8.15E+09 6.86E+09 3.03E+09 2.57E+09 1.18E+09 8.05E+08 3.99E+08 3.05E+08 1.54E+08 1.08E+08 5.44E+07 1.09E+08 3.09E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  1.061  1.04E+13 5.78E+12 8.00E+13 7.74E+07 7.41E+10 7.34E+10 1.85E+11 4.23E+11 1.59E+12 1.21E+12 1.07E+12 2.61E+11 3.88E+11 1.49E+11 1.01E+11 4.97E+10 7.03E+10 4.15E+10 3.63E+10 2.01E+10 1.89E+10 8.70E+09 8.23E+09 3.29E+09 3.17E+09 1.38E+09 1.01E+09 4.94E+08 4.39E+08 2.23E+08 1.80E+08 9.29E+07 2.68E+08 3.50E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  1.092  1.86E+13 1.05E+13 1.40E+14 1.28E+08 7.83E+10 7.77E+10 2.14E+11 6.59E+11 3.49E+12 2.52E+12 2.03E+12 3.25E+11 5.49E+11 1.65E+11 1.03E+11 4.42E+10 7.62E+10 4.28E+10 4.07E+10 2.10E+10 2.19E+10 9.29E+09 9.88E+09 3.58E+09 3.92E+09 1.61E+09 1.27E+09 6.12E+08 6.31E+08 3.24E+08 3.01E+08 1.59E+08 6.59E+08 3.97E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.122  3.38E+13 2.00E+13 2.60E+14 2.11E+08 8.28E+10 8.21E+10 2.47E+11 1.03E+12 7.69E+12 5.26E+12 3.86E+12 4.05E+11 7.79E+11 1.82E+11 1.04E+11 3.94E+10 8.26E+10 4.42E+10 4.55E+10 2.20E+10 2.55E+10 9.92E+09 1.19E+10 3.89E+09 4.85E+09 1.88E+09 1.60E+09 7.59E+08 9.07E+08 4.71E+08 5.04E+08 2.71E+08 1.62E+09 4.50E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.151  6.36E+13 3.96E+13 5.03E+14 3.50E+08 8.75E+10 8.68E+10 2.86E+11 1.60E+12 1.69E+13 1.10E+13 7.35E+12 5.05E+11 1.10E+12 2.02E+11 1.05E+11 3.51E+10 8.96E+10 4.56E+10 5.10E+10 2.31E+10 2.95E+10 1.06E+10 1.42E+10 4.22E+09 6.00E+09 2.20E+09 2.02E+09 9.41E+08 1.31E+09 6.83E+08 8.43E+08 4.62E+08 3.97E+09 5.11E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.221  4.10E+14 2.38E+14 2.93E+15 1.23E+09 1.00E+11 9.99E+10 4.12E+11 4.84E+12 1.22E+14 6.94E+13 3.67E+13 8.75E+11 2.64E+12 2.60E+11 1.09E+11 2.62E+10 1.10E+11 4.94E+10 6.77E+10 2.60E+10 4.28E+10 1.25E+10 2.25E+10 5.20E+09 1.02E+10 3.25E+09 3.58E+09 1.61E+09 3.24E+09 1.74E+09 3.05E+09 1.76E+09 3.75E+10 7.00E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.287  2.61E+15 1.52E+15 1.84E+16 4.31E+09 1.15E+11 1.15E+11 5.93E+11 1.46E+13 8.77E+14 4.38E+14 1.83E+14 1.52E+12 6.33E+12 3.34E+11 1.13E+11 1.96E+10 1.34E+11 5.35E+10 8.99E+10 2.92E+10 6.21E+10 1.47E+10 3.54E+10 6.40E+09 1.74E+10 4.81E+09 6.36E+09 2.76E+09 8.03E+09 4.41E+09 1.11E+10 6.69E+09 3.53E+11 9.58E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.410  1.75E+17 6.76E+16 7.99E+17 5.31E+10 1.52E+11 1.52E+11 1.23E+12 1.34E+14 4.54E+16 1.75E+16 4.56E+15 4.55E+12 3.63E+13 5.54E+11 1.21E+11 1.10E+10 2.01E+11 6.28E+10 1.58E+11 3.70E+10 1.31E+11 2.03E+10 8.83E+10 9.69E+09 5.02E+10 1.05E+10 2.01E+10 8.07E+09 4.94E+10 2.84E+10 1.45E+11 9.70E+10 3.15E+13 1.80E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.628  7.63E+20 1.53E+20 1.76E+21 8.07E+12 2.64E+11 2.66E+11 5.28E+12 1.12E+16 1.22E+20 2.77E+19 2.83E+18 4.11E+13 1.19E+15 1.52E+12 1.38E+11 3.45E+09 4.52E+11 8.64E+10 4.91E+11 5.93E+10 5.78E+11 3.91E+10 5.48E+11 2.22E+10 4.20E+11 5.02E+10 1.99E+11 6.92E+10 1.87E+12 1.18E+12 2.50E+13 2.04E+13 2.50E+17 6.33E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.820  3.06E+21 3.06E+20 3.52E+21 1.61E+13 4.58E+11 4.65E+11 2.27E+13 9.41E+17 2.43E+20 5.54E+19 5.66E+18 3.70E+14 3.91E+16 4.19E+12 1.57E+11 1.08E+09 1.01E+12 1.19E+11 1.53E+12 9.49E+10 2.56E+12 7.52E+10 3.40E+12 5.10E+10 3.52E+12 2.40E+11 1.98E+12 5.93E+11 7.06E+13 4.93E+13 4.98E+13 4.06E+13 4.99E+17 2.23E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.994  8.04E+21 6.90E+20 7.76E+21 3.21E+13 7.96E+11 8.14E+11 9.75E+13 7.88E+19 4.87E+20 1.11E+20 1.13E+19 3.34E+15 1.28E+18 1.15E+13 1.80E+11 3.39E+08 2.28E+12 1.64E+11 4.73E+12 1.52E+11 1.13E+13 1.44E+11 2.11E+13 1.17E+11 2.94E+13 1.15E+12 1.97E+13 5.08E+12 2.67E+15 2.05E+15 9.93E+13 8.11E+13 9.99E+17 7.85E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
