                    *********************************************************************************
                    *  Z= 68 A=163: Positive-Parity Spin-dependent Level Density [MeV-1] for ER163  *
 190.00  3.559  8.99E+26 7.31E+25 1.28E+27 2.10E+24 4.21E+24 6.35E+24 2.47E+24 2.07E+25 3.26E+24 3.08E+24 3.00E+24 2.84E+24 2.64E+24 2.72E+24 2.17E+24 2.39E+24 2.14E+24 1.85E+24 1.42E+24 1.39E+24 1.09E+24 1.02E+24 8.81E+23 7.13E+23 6.61E+23 5.70E+23 5.41E+23 5.00E+23 5.64E+23 5.93E+23 4.68E+23 4.08E+23 3.15E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.651  2.19E+27 1.85E+26 3.57E+27 4.20E+24 8.43E+24 1.27E+25 7.37E+24 4.14E+25 9.71E+24 9.18E+24 8.96E+24 8.47E+24 7.86E+24 8.11E+24 6.47E+24 7.15E+24 6.40E+24 5.53E+24 4.24E+24 4.17E+24 3.26E+24 3.04E+24 2.64E+24 2.13E+24 1.98E+24 1.71E+24 1.62E+24 1.50E+24 1.69E+24 1.78E+24 1.40E+24 1.22E+24 9.44E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 68 A=165: Negative-parity Spin-dependent Level Density [MeV-1] for ER165  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.129  2.00E+00 1.40E+01 1.02E+02 1.67E+00 1.53E+00 3.20E+00 3.06E+00 3.06E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.183  6.00E+00 1.86E+01 1.85E+02 0.00E+00 1.67E+00 3.20E+00 3.06E+00 3.06E+00 3.06E+00 3.06E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.224  1.30E+01 3.11E+01 3.16E+02 0.00E+00 3.20E+00 6.39E+00 4.59E+00 3.06E+00 4.73E+00 4.59E+00 3.06E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.258  2.30E+01 5.13E+01 5.26E+02 1.67E+00 4.73E+00 7.92E+00 7.66E+00 7.79E+00 7.78E+00 4.59E+00 4.59E+00 3.06E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.289  4.00E+01 8.85E+01 9.02E+02 8.20E+00 9.31E+00 1.25E+01 1.24E+01 9.31E+00 9.18E+00 7.65E+00 7.65E+00 4.59E+00 4.59E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.316  6.60E+01 1.16E+02 1.31E+03 6.53E+00 7.78E+00 1.25E+01 1.71E+01 1.85E+01 1.38E+01 9.19E+00 1.08E+01 7.65E+00 4.59E+00 4.59E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.342  1.09E+02 2.28E+02 2.41E+03 1.46E+01 2.32E+01 3.25E+01 3.27E+01 3.10E+01 2.30E+01 2.17E+01 1.54E+01 1.07E+01 1.07E+01 4.59E+00 4.59E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.365  1.84E+02 3.76E+02 3.84E+03 2.21E+01 4.49E+01 6.17E+01 4.98E+01 5.26E+01 4.18E+01 3.09E+01 2.45E+01 1.53E+01 1.07E+01 1.07E+01 4.59E+00 4.59E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.387  3.29E+02 7.85E+02 8.11E+03 3.22E+01 7.93E+01 1.13E+02 1.25E+02 1.23E+02 1.08E+02 7.87E+01 4.59E+01 2.75E+01 2.00E+01 1.07E+01 1.07E+01 4.59E+00 4.59E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.408  5.74E+02 1.17E+03 1.25E+04 4.60E+01 1.07E+02 1.66E+02 1.59E+02 1.67E+02 1.70E+02 1.43E+02 7.98E+01 5.39E+01 2.92E+01 2.00E+01 1.22E+01 9.18E+00 4.59E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.428  9.79E+02 2.08E+03 2.35E+04 9.07E+01 1.65E+02 2.52E+02 2.57E+02 2.87E+02 2.82E+02 2.30E+02 1.99E+02 1.32E+02 8.13E+01 4.30E+01 2.60E+01 1.07E+01 1.07E+01 6.12E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.447  1.64E+03 3.19E+03 3.55E+04 1.51E+02 2.85E+02 4.04E+02 4.24E+02 4.36E+02 3.86E+02 3.30E+02 2.73E+02 2.11E+02 1.37E+02 7.98E+01 3.54E+01 1.68E+01 1.08E+01 7.65E+00 4.59E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.465  2.74E+03 5.61E+03 6.46E+04 2.48E+02 4.72E+02 6.49E+02 6.86E+02 7.57E+02 7.27E+02 6.07E+02 4.73E+02 3.64E+02 2.59E+02 1.86E+02 9.54E+01 3.98E+01 2.15E+01 1.07E+01 4.59E+00 4.59E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.483  4.42E+03 7.81E+03 9.21E+04 3.09E+02 6.12E+02 8.77E+02 9.83E+02 1.03E+03 9.59E+02 8.66E+02 7.08E+02 5.08E+02 3.79E+02 2.72E+02 1.61E+02 8.43E+01 3.23E+01 1.38E+01 1.07E+01 4.59E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.500  7.12E+03 1.38E+04 1.62E+05 6.00E+02 1.16E+03 1.67E+03 1.69E+03 1.74E+03 1.65E+03 1.46E+03 1.18E+03 9.46E+02 6.60E+02 4.55E+02 2.96E+02 1.82E+02 8.59E+01 3.36E+01 1.22E+01 1.07E+01 4.59E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.516  1.14E+04 2.04E+04 2.39E+05 8.45E+02 1.67E+03 2.42E+03 2.60E+03 2.69E+03 2.43E+03 2.10E+03 1.70E+03 1.28E+03 9.99E+02 6.79E+02 4.29E+02 2.73E+02 1.52E+02 5.51E+01 2.92E+01 1.07E+01 4.59E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.532  1.85E+04 3.61E+04 4.27E+05 1.48E+03 2.92E+03 4.21E+03 4.47E+03 4.74E+03 4.46E+03 3.91E+03 3.06E+03 2.26E+03 1.66E+03 1.20E+03 7.70E+02 4.71E+02 2.91E+02 1.44E+02 4.91E+01 2.14E+01 1.07E+01 4.59E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.548  2.95E+04 5.24E+04 6.25E+05 2.08E+03 4.11E+03 5.89E+03 6.44E+03 6.92E+03 6.46E+03 5.69E+03 4.63E+03 3.38E+03 2.43E+03 1.71E+03 1.13E+03 7.01E+02 4.31E+02 2.44E+02 1.01E+02 3.36E+01 1.22E+01 7.65E+00 4.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.563  4.78E+04 9.33E+04 1.12E+06 3.66E+03 7.25E+03 1.04E+04 1.13E+04 1.20E+04 1.14E+04 1.02E+04 8.28E+03 6.29E+03 4.57E+03 3.11E+03 2.00E+03 1.27E+03 7.60E+02 4.26E+02 2.28E+02 8.73E+01 3.07E+01 1.07E+01 4.59E+00 3.06E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.577  7.64E+04 1.36E+05 1.65E+06 5.21E+03 1.02E+04 1.47E+04 1.63E+04 1.77E+04 1.66E+04 1.48E+04 1.22E+04 9.27E+03 6.81E+03 4.81E+03 2.98E+03 1.84E+03 1.16E+03 6.31E+02 3.34E+02 1.61E+02 5.23E+01 1.70E+01 1.07E+01 4.59E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.606  1.93E+05 3.32E+05 4.13E+06 1.22E+04 2.37E+04 3.44E+04 3.80E+04 4.14E+04 3.96E+04 3.63E+04 3.07E+04 2.40E+04 1.79E+04 1.30E+04 8.37E+03 5.29E+03 3.10E+03 1.73E+03 9.34E+02 4.76E+02 2.34E+02 7.07E+01 2.17E+01 1.07E+01 4.73E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.632  4.75E+05 7.96E+05 1.01E+07 2.80E+04 5.50E+04 7.99E+04 8.96E+04 9.78E+04 9.37E+04 8.60E+04 7.33E+04 5.82E+04 4.50E+04 3.36E+04 2.22E+04 1.46E+04 8.89E+03 4.85E+03 2.59E+03 1.38E+03 6.04E+02 3.08E+02 9.86E+01 3.23E+01 1.24E+01 4.59E+00 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.658  1.15E+06 1.90E+06 2.45E+07 6.54E+04 1.28E+05 1.86E+05 2.09E+05 2.30E+05 2.21E+05 2.06E+05 1.76E+05 1.40E+05 1.09E+05 8.15E+04 5.62E+04 3.81E+04 2.37E+04 1.37E+04 7.59E+03 3.78E+03 1.87E+03 8.32E+02 3.71E+02 1.20E+02 3.89E+01 1.23E+01 4.73E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.683  2.75E+06 4.51E+06 5.89E+07 1.51E+05 2.97E+05 4.33E+05 4.88E+05 5.39E+05 5.20E+05 4.88E+05 4.20E+05 3.38E+05 2.64E+05 2.00E+05 1.38E+05 9.45E+04 6.12E+04 3.69E+04 2.09E+04 1.11E+04 5.35E+03 2.46E+03 1.06E+03 4.49E+02 1.48E+02 4.32E+01 1.40E+01 4.59E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.707  6.52E+06 1.06E+07 1.40E+08 3.43E+05 6.75E+05 9.85E+05 1.12E+06 1.24E+06 1.21E+06 1.14E+06 9.92E+05 8.05E+05 6.37E+05 4.85E+05 3.42E+05 2.35E+05 1.54E+05 9.48E+04 5.63E+04 3.06E+04 1.57E+04 7.59E+03 3.19E+03 1.38E+03 5.68E+02 1.71E+02 5.46E+01 1.59E+01 6.50E+00 1.37E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.730  1.52E+07 2.42E+07 3.27E+08 7.51E+05 1.48E+06 2.16E+06 2.51E+06 2.79E+06 2.73E+06 2.60E+06 2.28E+06 1.88E+06 1.51E+06 1.17E+06 8.31E+05 5.80E+05 3.85E+05 2.41E+05 1.45E+05 8.19E+04 4.37E+04 2.24E+04 9.91E+03 4.27E+03 1.85E+03 7.05E+02 2.26E+02 7.27E+01 2.61E+01 6.40E+00 2.75E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.753  3.50E+07 5.51E+07 7.56E+08 1.67E+06 3.29E+06 4.81E+06 5.60E+06 6.26E+06 6.16E+06 5.87E+06 5.19E+06 4.30E+06 3.50E+06 2.73E+06 1.98E+06 1.41E+06 9.48E+05 6.04E+05 3.72E+05 2.12E+05 1.18E+05 6.26E+04 2.93E+04 1.35E+04 5.78E+03 2.39E+03 9.20E+02 3.28E+02 9.56E+01 3.63E+01 1.12E+01 2.75E-01 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.775  8.00E+07 1.25E+08 1.73E+09 3.69E+06 7.29E+06 1.07E+07 1.25E+07 1.40E+07 1.38E+07 1.32E+07 1.18E+07 9.80E+06 7.98E+06 6.29E+06 4.62E+06 3.33E+06 2.29E+06 1.49E+06 9.31E+05 5.41E+05 3.07E+05 1.68E+05 8.18E+04 3.99E+04 1.82E+04 7.72E+03 3.23E+03 1.28E+03 4.17E+02 1.51E+02 4.53E+01 1.67E+01 1.53E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.796  1.81E+08 2.80E+08 3.93E+09 8.12E+06 1.60E+07 2.35E+07 2.75E+07 3.09E+07 3.07E+07 2.96E+07 2.64E+07 2.22E+07 1.82E+07 1.44E+07 1.07E+07 7.77E+06 5.43E+06 3.59E+06 2.29E+06 1.36E+06 7.91E+05 4.44E+05 2.20E+05 1.13E+05 5.41E+04 2.43E+04 1.05E+04 4.42E+03 1.73E+03 6.06E+02 2.34E+02 5.66E+01 1.99E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.816  4.07E+08 6.24E+08 8.86E+09 1.77E+07 3.49E+07 5.12E+07 6.01E+07 6.77E+07 6.75E+07 6.54E+07 5.87E+07 4.96E+07 4.10E+07 3.27E+07 2.45E+07 1.80E+07 1.27E+07 8.51E+06 5.53E+06 3.35E+06 2.00E+06 1.15E+06 5.85E+05 3.09E+05 1.55E+05 7.37E+04 3.34E+04 1.50E+04 5.92E+03 2.54E+03 9.38E+02 3.12E+02 1.06E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.856  2.22E+09 3.01E+09 4.38E+10 8.19E+07 1.62E+08 2.38E+08 2.81E+08 3.18E+08 3.19E+08 3.11E+08 2.82E+08 2.41E+08 2.02E+08 1.64E+08 1.25E+08 9.34E+07 6.72E+07 4.63E+07 3.10E+07 1.93E+07 1.20E+07 7.25E+06 3.88E+06 2.18E+06 1.16E+06 5.95E+05 2.99E+05 1.48E+05 6.54E+04 3.06E+04 1.39E+04 5.04E+03 1.83E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.894  1.08E+10 1.41E+10 2.09E+11 3.71E+08 7.33E+08 1.08E+09 1.28E+09 1.45E+09 1.46E+09 1.44E+09 1.32E+09 1.14E+09 9.62E+08 7.88E+08 6.10E+08 4.64E+08 3.40E+08 2.40E+08 1.65E+08 1.06E+08 6.78E+07 4.25E+07 2.36E+07 1.39E+07 7.84E+06 4.28E+06 2.29E+06 1.22E+06 5.88E+05 2.99E+05 1.48E+05 5.87E+04 2.38E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.931  5.03E+10 6.49E+10 9.79E+11 1.68E+09 3.32E+09 4.89E+09 5.70E+09 6.50E+09 6.59E+09 6.53E+09 6.01E+09 5.24E+09 4.45E+09 3.69E+09 2.90E+09 2.23E+09 1.66E+09 1.20E+09 8.38E+08 5.53E+08 3.65E+08 2.36E+08 1.35E+08 8.31E+07 4.87E+07 2.80E+07 1.58E+07 8.88E+06 4.56E+06 2.48E+06 1.31E+06 5.63E+05 2.40E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
