,ZA,Z,A,target,observable,value,uncertainty,unit,comment,qualifier
197,46106,46,106,Pd106_e0,D0,194.0,25.0,eV,PD106PTANAL,
198,46106,46,106,Pd106_e0,D1,64.0,4.0,eV,"PD106 """,
199,46107,46,107,Pd107_e0,D0,10.6,0.9,eV,"PD107   nst 44,103,2007 new",
200,46107,46,107,Pd107_e0,D0F,9.5,0.5,eV,PD107       D0=9.5 REQUIRED TO FIT URR,
201,46108,46,108,Pd108_e0,D0,223.0,40.0,eV,PD108NG  = 7.6+-0.5      PD108  INDC MUGABGAB2004  PRIOR VALUE 8.3-+0.5   DELETED,
202,46108,46,108,Pd108_e0,D0F,300.0,20.0,eV,PD108,
203,46108,46,108,Pd108_e0,D1,103.0,6.0,eV,PD108,
204,46110,46,110,Pd110_e0,D0,334.0,43.0,eV,PD110     sas result,
205,46110,46,110,Pd110_e0,D0F,340.0,34.0,eV,PD110,
206,46110,46,110,Pd110_e0,D1,106.0,9.0,eV,PD110,
207,47107,47,107,Ag107_e0,D0,24.9,1.4,eV,AG107  CHANGED FROM 14.87,
208,47107,47,107,Ag107_e0,D1,9.46,0.5,eV,AG107 D0=9.46*2.25=21.3-+0.56  A BIT HIGH FOR DO OR D1 HIGH,
209,47109,47,109,Ag109_e0,D0,25.6,1.5,eV,AG109     atlas1 15.05+-0.60                                     PTANAL.LIS1,
210,47109,47,109,Ag109_e0,D1,11.9,0.6,eV,AG109,
211,47110,47,110,Ag110_m1,D0,1.53,0.34,eV,AG110,
212,48106,48,106,Cd106_e0,D0,135.0,20.0,eV,CD106      MUSGROVE FROM CS FIT   ripple d0=165,
213,48106,48,106,Cd106_e0,D1,52.0,6.0,eV,CD106 MUSGROVE D0=135+-35,
214,48108,48,108,Cd108_e0,D0,120.0,30.0,eV,CD108 MUSGROVE D0=130+-30  PRAVDIVIDY R0'=5.93+-0.22  R1'=12.4+-0.4,
215,48108,48,108,Cd108_e0,D1,48.0,3.0,eV,"CD108      "" SS0=0.25  S1=4.=0.3",
216,48110,48,110,Cd110_e0,D0,192.0,15.0,eV,CD110    started with d0=184 FROM PTANAL readjusted to 192 in lsf MUSGROVE D0=155+-20  LIOU 174+-18,
217,48111,48,111,Cd111_e0,D0,26.9,2.1,eV,CD111,
218,48111,48,111,Cd111_e0,D1,14.1,0.9,eV,CD111,
219,48112,48,112,Cd112_e0,D0,232.0,15.0,eV,CD112   D0C=32 BEST FITS WISSHAK DATA AND =3*D1!!,
220,48112,48,112,Cd112_e0,D1,77.3,4.8,eV,CD112 SAS VALUE  D0=190+-25 MUSGROVE  137+-8 LIOU,
221,48113,48,113,Cd113_e0,D0,29.3,2.0,eV,CD113   ptanal values for d0=29.3+-2.0  d1=14.=0.7 En<4 kev,
222,48113,48,113,Cd113_e0,D1,14.3,0.7,eV,CD113,
223,48114,48,114,Cd114_e0,D0,309.0,24.0,eV,,
224,48114,48,114,Cd114_e0,D1,103.0,8.0,eV,CD114,
225,48116,48,116,Cd116_e0,D0,650.0,50.0,eV,CD116   TO FIT WISSHAK DATA,
226,48116,48,116,Cd116_e0,D1,215.0,20.0,eV,CD116  MUSGROVE D0=390+-90   LIOU 264+-38,
227,49113,49,113,In113_e0,D0,10.7,0.8,eV,IN113                        FOR IN-000,
228,49115,49,115,In115_e0,D0,10.4,0.47,eV,IN115   SAS     D0  = 9.04 +-0.41 PREVIOUS VALUE,
229,49115,49,115,In115_e0,D1,5.65,0.28,eV,IN115,
230,50112,50,112,Sn112_e0,D0,172.0,10.0,eV,SN112   CALULATED FROM SN116,
231,50113,50,113,Sn113_e0,D0,17.7,1.7,eV,SN113   DO CALCULATED FROM SN117 AND GILBERT CAMERON,
232,50114,50,114,Sn114_e0,D0,240.0,20.0,eV,SN114,
233,50115,50,115,Sn115_e0,D0,55.0,5.0,eV,SN115,
234,50116,50,116,Sn116_e0,D0,507.0,60.0,eV,SN116,
235,50116,50,116,Sn116_e0,D1,155.0,6.0,eV,SN116,
236,50117,50,117,Sn117_e0,D0,61.0,7.0,eV,SN117,
237,50117,50,117,Sn117_e0,D1,31.0,3.0,eV,SN117,
238,50118,50,118,Sn118_e0,D0,700.0,100.0,eV,SN118,
239,50118,50,118,Sn118_e0,D0F,660.0,60.0,eV,,
240,50118,50,118,Sn118_e0,D1,270.0,28.0,eV,SN118,
241,50119,50,119,Sn119_e0,D0,95.0,14.0,eV,SN119     DO NEW  SEE ATLAS1 WRIRTE-UP POPOV S0=0.05-+0.03,
242,50120,50,120,Sn120_e0,D0,1485.0,130.0,eV,SN120,
243,50122,50,122,Sn122_e0,D0,2965.0,100.0,eV,SN122  PTANAL.SAS FULL RANGE   NG=180-+20 MB  I'=0.71-+0.07 RICABERRA,
244,50122,50,122,Sn122_e0,D1,1030.0,30.0,eV,SN122  PTANAL.SAS FULL RANGE,
245,50124,50,124,Sn124_e0,D0,5935.0,650.0,eV,SN124      HEFT IG=,
246,50124,50,124,Sn124_e0,D0F,4300.0,200.0,eV,SN124,
247,50124,50,124,Sn124_e0,D1,1590.0,70.0,eV,SN124,
248,51121,51,121,Sb121_e0,D0,10.4,1.1,eV,SB121,
249,51121,51,121,Sb121_e0,D1,6.7,1.0,eV,SB121,
250,51123,51,123,Sb123_e0,D0,24.0,1.7,eV,SB123,
251,52122,52,122,Te122_e0,D0,132.0,14.0,eV,TE122,
252,52122,52,122,Te122_e0,D1,44.4,2.3,eV,TE122  CORRECTED FOR FACT THAT BELOW 2708 NO P-RESONANCES!!,
253,52123,52,123,Te123_e0,D0,22.3,2.8,eV,TE123   10% ERROR!!! LARGE,
254,52124,52,124,Te124_e0,D0,220.0,30.0,eV,TE124,
255,52124,52,124,Te124_e0,D1,106.0,9.0,eV,TE124,
256,52125,52,125,Te125_e0,D0,40.0,2.8,eV,TE125,
257,52125,52,125,Te125_e0,D1,20.1,2.4,eV,TE125,
258,52126,52,126,Te126_e0,D0,617.0,170.0,eV,TE126,
259,52126,52,126,Te126_e0,D0F,591.0,45.0,eV,TE126,
260,52126,52,126,Te126_e0,D1,197.0,15.0,eV,TE126   new,
261,52128,52,128,Te128_e0,D0F,1200.0,200.0,eV,TE128 D0  = 2250+-656  from ptanal. but uede d0 =1200  from urr,
